clientes_atendidos,espera_media_geral,tempo_medio_sistema_geral,espera_media_dinheiro_ticket,tempo_medio_sistema_dinheiro_ticket,espera_media_pix,tempo_pagamento_pix_paralelo,tempo_medio_sistema_pix,clientes_prioritarios,clientes_ticket,clientes_com_erro,sem_troco,clientes_nao_atendidos,fila_pix_media,fila_pix_pico,fila_pix_final
889,46.95,65.22,44.82,56.03,48.27,16.76,71.40,34,0,18,1,7,151.59,311,312
867,15.47,33.40,16.28,27.14,14.91,17.12,37.58,27,0,9,2,2,151.17,295,295
913,19.94,37.13,20.95,31.93,19.25,15.82,40.29,26,0,9,1,6,171.11,339,339
951,33.39,50.57,31.42,42.82,34.69,15.68,55.69,26,0,8,2,0,180.03,344,344
939,55.96,73.72,55.32,66.96,56.42,16.42,78.56,24,0,12,2,0,154.42,320,320
940,22.15,39.20,20.61,31.51,23.07,15.28,43.80,31,0,10,2,0,193.08,364,363
942,50.39,67.77,46.87,59.03,52.63,15.52,73.33,36,0,10,3,0,168.49,347,350
932,25.06,42.31,25.89,37.50,24.41,15.63,45.33,25,0,8,2,6,175.16,338,338
927,16.15,33.51,16.03,26.87,16.18,16.82,38.40,20,0,8,2,6,154.90,312,310
895,13.06,30.39,12.26,22.63,13.59,16.63,35.51,32,0,6,1,3,147.74,320,318
923,21.97,39.41,22.03,33.14,21.93,15.83,43.34,29,0,10,1,0,174.92,351,350
868,14.90,32.73,14.79,25.20,14.90,17.30,37.79,23,0,10,2,7,130.46,287,286
927,25.94,43.23,25.60,36.61,26.04,15.83,47.48,33,0,10,1,8,177.63,345,345
873,14.59,32.60,16.20,27.05,13.49,17.15,36.30,26,0,12,1,2,153.84,304,305
874,20.94,38.69,19.35,30.54,21.87,16.51,43.66,22,0,7,1,2,162.12,319,322
893,25.75,43.66,24.87,35.83,26.22,16.41,48.63,28,0,10,2,7,151.51,316,318
947,29.63,46.86,28.16,39.73,30.54,15.34,51.29,17,0,14,2,0,168.03,357,359
875,20.16,38.32,21.22,32.53,19.44,17.09,42.18,29,0,10,2,1,152.71,301,302
850,17.58,35.68,15.29,26.37,19.13,17.69,41.98,24,0,3,2,0,145.88,276,278
928,34.47,52.02,33.53,45.53,34.99,15.65,56.03,35,0,12,2,5,167.98,349,348
926,57.76,75.46,56.71,68.50,58.44,15.92,79.97,40,0,11,3,1,173.13,342,341
872,11.80,29.32,11.07,21.75,12.25,16.39,33.90,29,0,8,1,0,154.03,324,325
862,16.72,35.00,15.91,26.51,17.31,18.23,41.36,25,0,7,1,0,128.31,270,269
870,13.64,31.36,13.08,23.72,14.00,17.36,36.55,32,0,2,2,2,158.52,291,289
914,47.80,65.68,52.59,64.83,44.77,15.97,66.22,39,0,10,3,1,178.29,336,336
918,32.24,49.74,30.10,41.48,33.62,16.24,55.34,17,0,12,2,3,143.97,311,314
924,26.21,43.67,26.90,37.74,25.69,16.59,47.86,31,0,9,2,1,153.84,311,312
911,21.31,38.94,21.57,32.38,21.14,16.18,43.14,28,0,12,1,0,182.93,330,329
914,33.45,50.49,33.46,43.89,33.44,16.13,54.74,26,0,5,1,0,165.30,333,334
890,19.66,37.46,17.42,27.96,21.27,17.24,44.27,19,0,9,0,0,137.88,294,296
