clientes_atendidos,espera_media_geral,tempo_medio_sistema_geral,espera_media_dinheiro_ticket,tempo_medio_sistema_dinheiro_ticket,espera_media_pix,tempo_pagamento_pix_paralelo,tempo_medio_sistema_pix,clientes_prioritarios,clientes_ticket,clientes_com_erro,sem_troco,clientes_nao_atendidos,fila_pix_media,fila_pix_pico,fila_pix_final
922,59.25,76.03,57.52,67.49,65.97,39.04,110.26,33,0,11,2,4,3.62,12,0
925,50.79,68.01,50.71,60.64,50.81,40.55,96.70,29,0,7,2,6,4.18,14,2
898,83.05,100.43,84.71,94.74,76.74,39.52,122.05,21,0,10,1,1,2.65,10,0
900,51.64,68.90,50.72,60.65,54.23,39.44,99.54,29,0,7,1,16,2.81,10,1
867,47.46,64.16,48.19,58.45,44.08,40.68,89.95,26,0,8,2,1,2.20,8,0
958,77.02,93.45,76.78,86.36,77.87,36.07,119.03,41,0,6,0,0,2.84,15,15
921,144.81,162.11,145.70,156.13,141.43,38.04,184.97,28,0,8,3,0,4.12,13,6
885,74.91,91.97,75.64,85.76,71.21,39.46,116.79,39,0,13,2,12,1.97,5,1
917,66.57,82.74,66.06,76.10,68.88,37.83,112.52,31,0,11,1,0,1.63,5,1
915,30.74,48.08,31.21,40.73,28.88,40.14,74.02,22,0,5,1,3,3.78,11,4
878,47.59,64.21,47.58,57.46,47.22,38.88,92.33,28,0,11,1,1,3.59,12,2
804,22.46,39.23,22.65,32.42,21.40,38.94,65.80,21,0,7,2,5,1.90,5,1
919,55.74,72.66,56.74,66.51,51.35,38.97,96.42,22,0,13,1,6,3.45,12,1
877,52.28,69.81,51.47,61.66,55.18,40.37,101.35,30,0,15,2,6,2.11,7,8
902,55.27,72.77,53.82,64.24,59.91,38.96,104.13,19,0,14,2,10,3.09,8,0
868,62.98,80.30,63.31,73.80,60.18,39.65,105.35,30,0,10,2,26,5.01,12,1
897,62.23,78.73,62.08,72.08,62.76,38.83,106.59,26,0,10,1,5,1.59,6,0
887,37.39,54.21,37.02,46.67,38.68,39.73,83.41,27,0,5,1,3,2.53,6,0
905,31.92,48.65,32.04,41.59,31.46,39.47,75.98,24,0,7,1,2,1.88,5,3
884,50.99,68.05,50.36,60.17,53.26,39.64,98.25,29,0,8,1,4,5.65,18,5
871,35.79,52.90,35.59,45.72,36.03,37.36,79.18,27,0,10,1,7,2.15,7,3
878,66.84,83.93,66.14,76.09,69.53,39.93,114.57,31,0,10,1,0,2.29,8,0
907,112.55,129.90,111.46,121.85,115.50,41.15,161.96,33,0,13,2,31,2.90,9,0
894,35.18,51.84,35.12,44.77,35.23,39.95,80.30,30,0,8,2,1,2.39,7,1
888,50.89,67.55,49.83,59.77,55.36,39.84,100.42,12,0,8,1,0,1.98,6,2
870,41.92,59.95,41.47,51.63,43.46,39.46,88.56,28,0,9,2,0,4.36,11,1
900,76.46,93.46,75.51,85.61,80.15,40.62,126.22,30,0,15,2,2,2.74,8,0
899,40.79,57.33,41.03,50.79,39.52,39.60,84.56,24,0,6,2,3,1.58,5,1
904,31.54,48.30,31.16,40.84,33.07,39.28,78.31,30,0,7,1,0,2.92,10,1
876,88.18,105.22,87.46,97.52,90.45,40.54,136.28,21,0,8,2,12,3.18,10,4
